epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,77236,0.96743,0.5828,0.81617,0.90579,0.91234,0.96167,0.6786,0.24435,0.16094,0.20492,0.006172,0.006172,0.006172
118,77879,0.97006,0.60692,0.81653,0.90665,0.91241,0.9618,0.67942,0.2445,0.16048,0.20493,0.006139,0.006139,0.006139
119,78522.8,0.96818,0.58094,0.84703,0.90586,0.91241,0.96179,0.67862,0.24445,0.16037,0.2049,0.006106,0.006106,0.006106
120,79167.4,1.00524,0.60294,0.8548,0.90545,0.9087,0.96182,0.67844,0.24424,0.16025,0.20486,0.006073,0.006073,0.006073
121,80219.9,0.96028,0.56557,0.82928,0.90726,0.91043,0.96168,0.67806,0.244,0.16045,0.20478,0.00604,0.00604,0.00604
122,81010.7,0.97952,0.5581,0.82352,0.90727,0.9105,0.96235,0.67762,0.24421,0.16005,0.20477,0.006007,0.006007,0.006007
123,81654.6,0.99494,0.59598,0.86144,0.90883,0.90955,0.96177,0.67799,0.24441,0.15987,0.20477,0.005974,0.005974,0.005974
124,82297.7,0.96512,0.59008,0.85725,0.90641,0.90876,0.9618,0.67729,0.24409,0.15973,0.2047,0.005941,0.005941,0.005941
125,82941.5,0.9373,0.5464,0.79732,0.90568,0.90876,0.96224,0.67781,0.24423,0.15952,0.20472,0.005908,0.005908,0.005908
126,83585.5,0.97236,0.55549,0.83178,0.907,0.90768,0.96188,0.678,0.24425,0.15942,0.20474,0.005875,0.005875,0.005875
127,84228.9,0.97541,0.57494,0.84383,0.90526,0.90511,0.96182,0.67683,0.24442,0.15962,0.20471,0.005842,0.005842,0.005842
128,84872.2,0.97553,0.57019,0.83439,0.9069,0.90659,0.96296,0.67859,0.24436,0.15967,0.2047,0.005809,0.005809,0.005809
129,85515.5,0.99239,0.59759,0.85061,0.90855,0.9065,0.96323,0.67852,0.24446,0.15944,0.20463,0.005776,0.005776,0.005776
130,86158,1.00121,0.58585,0.85651,0.90717,0.90948,0.96318,0.67911,0.24406,0.1595,0.20462,0.005743,0.005743,0.005743
131,86800.4,0.97374,0.5562,0.83625,0.90724,0.9102,0.96279,0.6801,0.24406,0.15952,0.2046,0.00571,0.00571,0.00571
132,87446,0.95276,0.56057,0.84347,0.90912,0.91271,0.96392,0.67962,0.24376,0.15918,0.20452,0.005677,0.005677,0.005677
133,88089.6,1.00241,0.58552,0.84693,0.90918,0.91344,0.964,0.68001,0.24361,0.15936,0.20452,0.005644,0.005644,0.005644
134,88734.1,0.97665,0.57919,0.83426,0.91023,0.9067,0.96191,0.67997,0.24329,0.15918,0.2045,0.005611,0.005611,0.005611
135,89378.2,0.95312,0.57654,0.84084,0.91074,0.91236,0.962,0.68093,0.24335,0.15844,0.20442,0.005578,0.005578,0.005578
136,90022.9,0.93141,0.54942,0.80597,0.91027,0.91241,0.96226,0.68145,0.24329,0.1585,0.20445,0.005545,0.005545,0.005545
137,90666.8,0.95298,0.55523,0.83065,0.91058,0.91049,0.96245,0.68138,0.24329,0.15847,0.20441,0.005512,0.005512,0.005512
138,91310.9,0.91805,0.53604,0.80724,0.91074,0.91233,0.96249,0.68222,0.24344,0.15824,0.20434,0.005479,0.005479,0.005479
139,91955.3,0.94619,0.57584,0.83848,0.91085,0.91359,0.96253,0.68247,0.24319,0.15818,0.20433,0.005446,0.005446,0.005446
140,92601.1,0.95914,0.5671,0.83223,0.91108,0.90876,0.96251,0.68213,0.24292,0.15789,0.20429,0.005413,0.005413,0.005413
141,93254.9,0.97713,0.56382,0.81744,0.9109,0.90876,0.96255,0.68195,0.24333,0.15789,0.2043,0.00538,0.00538,0.00538
142,93906.2,0.97424,0.57726,0.8414,0.91089,0.90876,0.9628,0.6827,0.24288,0.1576,0.20406,0.005347,0.005347,0.005347
143,94560.4,0.99857,0.54734,0.85028,0.91162,0.90876,0.96269,0.68278,0.24292,0.15761,0.20404,0.005314,0.005314,0.005314
144,95207.7,0.97341,0.56043,0.829,0.91306,0.90876,0.96279,0.68335,0.24313,0.15757,0.2041,0.005281,0.005281,0.005281
